==PROF== Connected to process 5253 (/workspaces/CudaProgramming/build/readWriteOffset_ca)
==PROF== Disconnected from process 5253
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","byte","134221952"
"0","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","dram__sectors_read.sum","sector","4194436"
"0","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","nsecond","203264"
"0","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio","sector/request","4"
"0","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum","byte","134217728"
"0","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum","request","1048576"
"0","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","4194304"
"0","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct","%","100"
"1","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","byte","134257536"
"1","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","dram__sectors_read.sum","sector","4195548"
"1","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","nsecond","213152"
"1","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio","sector/request","5.00"
"1","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum","byte","167772032"
"1","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum","request","1048576"
"1","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","5242876"
"1","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct","%","80.00"
"2","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","byte","134220928"
"2","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","dram__sectors_read.sum","sector","4194404"
"2","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","nsecond","227712"
"2","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio","sector/request","4"
"2","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum","byte","134216704"
"2","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum","request","1048568"
"2","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","4194272"
"2","5253","readWriteOffset_ca","127.0.0.1","readOffset(float *, float *, float *, unsigned long, int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct","%","100"
