==PROF== Connected to process 85863 (/workspaces/CudaProgramming/build/reduceInteger)
==PROF== Disconnected from process 85863
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","85863","reduceInteger","127.0.0.1","reduceNeighbored(int *, int *, unsigned int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","branch_inst_executed","","32505856"
"0","85863","reduceInteger","127.0.0.1","reduceNeighbored(int *, int *, unsigned int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","104040704"
"0","85863","reduceInteger","127.0.0.1","reduceNeighbored(int *, int *, unsigned int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum.per_second","byte/second","82445221903.38"
"0","85863","reduceInteger","127.0.0.1","reduceNeighbored(int *, int *, unsigned int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","nsecond","814048"
"0","85863","reduceInteger","127.0.0.1","reduceNeighbored(int *, int *, unsigned int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum.per_second","byte/second","658219584103.15"
"0","85863","reduceInteger","127.0.0.1","reduceNeighbored(int *, int *, unsigned int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","launch__block_size","","512"
"0","85863","reduceInteger","127.0.0.1","reduceNeighbored(int *, int *, unsigned int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","launch__grid_size","","32768"
"0","85863","reduceInteger","127.0.0.1","reduceNeighbored(int *, int *, unsigned int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","96.19"
"0","85863","reduceInteger","127.0.0.1","reduceNeighbored(int *, int *, unsigned int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_launched.sum","warp","524288"
"0","85863","reduceInteger","127.0.0.1","reduceNeighbored(int *, int *, unsigned int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","smsp__average_inst_executed_per_warp.ratio","inst/warp","825.06"
"0","85863","reduceInteger","127.0.0.1","reduceNeighbored(int *, int *, unsigned int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","smsp__branch_targets_threads_divergent","","3145728"
"0","85863","reduceInteger","127.0.0.1","reduceNeighbored(int *, int *, unsigned int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","smsp__branch_targets_threads_uniform","","29360128"
"0","85863","reduceInteger","127.0.0.1","reduceNeighbored(int *, int *, unsigned int)","1","7","(512, 1, 1)","(32768, 1, 1)","0","8.9","Command line profiler metrics","smsp__inst_executed.sum","inst","432570368"
